,"(deg C) Mean Temperature (ERA5) at Hambantota, 2007-01-01 to 2025-12-31"
"2009-07-30",26.9911
"2009-07-31",27.6422
"2009-08-01",27.9012
"2009-08-02",27.832
"2009-08-03",28.0713
"2009-08-04",28.021
"2009-08-05",27.8379
"2009-08-06",27.3201
"2009-08-07",26.5311
"2009-08-08",26.9745
"2009-08-09",27.2946
"2009-08-10",27.6211
"2009-08-11",27.6527
"2009-08-12",27.9419
"2009-08-13",28.0169
"2009-08-14",27.6901
"2009-08-15",27.6574
"2009-08-16",26.0955
"2009-08-17",25.2346
"2009-08-18",26.2245
"2009-08-19",25.8365
"2009-08-20",25.2723
"2009-08-21",25.5333
"2009-08-22",26.426
"2009-08-23",26.428
"2009-08-24",27.0421
"2009-08-25",27.4561
"2009-08-26",27.0152
"2009-08-27",27.201
"2009-08-28",26.861
"2009-08-29",27.3422
"2009-08-30",27.3331
"2009-08-31",26.7675
"2009-09-01",26.6253
"2009-09-02",26.4217
"2009-09-03",27.3945
"2009-09-04",26.9705
"2009-09-05",26.9102
"2009-09-06",26.8924
"2009-09-07",26.7239
"2009-09-08",26.9268
"2009-09-09",27.3373
"2009-09-10",27.3027
"2009-09-11",27.8536
"2009-09-12",27.9684
"2009-09-13",27.765
"2009-09-14",27.6274
"2009-09-15",27.6713
"2009-09-16",27.9801
"2009-09-17",27.7427
"2009-09-18",26.2349
"2009-09-19",27.1383
"2009-09-20",27.66
"2009-09-21",26.4495
"2009-09-22",26.3487
"2009-09-23",27.0427
"2009-09-24",27.479
"2009-09-25",27.6864
"2009-09-26",27.9411
"2009-09-27",28.0745
"2009-09-28",27.3629
"2009-09-29",26.3466
"2009-09-30",27.3985
"2009-10-01",26.3538
"2009-10-02",25.5981
"2009-10-03",26.1451
"2009-10-04",26.8624
"2009-10-05",27.4007
"2009-10-06",27.5865
"2009-10-07",27.2059
"2009-10-08",27.5692
"2009-10-09",27.4748
"2009-10-10",27.5475
"2009-10-11",27.7031
"2009-10-12",27.2811
"2009-10-13",26.8606
"2009-10-14",26.3064
"2009-10-15",26.7876
"2009-10-16",26.5606
"2009-10-17",26.9758
"2009-10-18",26.7463
"2009-10-19",26.618
"2009-10-20",26.1455
"2009-10-21",26.4311
"2009-10-22",26.5799
"2009-10-23",26.8228
"2009-10-24",26.7114
"2009-10-25",27.2444
"2009-10-26",27.106
"2009-10-27",25.9527
"2009-10-28",26.0917
"2009-10-29",25.5846
"2009-10-30",26.6713
"2009-10-31",26.2029
"2009-11-01",25.4597
"2009-11-02",24.517
"2009-11-03",24.3454
"2009-11-04",24.3061
"2009-11-05",24.7818
"2009-11-06",24.8731
"2009-11-07",25.3735
"2009-11-08",24.85
"2009-11-09",25.1344
"2009-11-10",25.0582
"2009-11-11",26.2115
"2009-11-12",25.744
"2009-11-13",25.4468
"2009-11-14",24.8377
"2009-11-15",24.0904
"2009-11-16",25.7443
"2009-11-17",25.372
"2009-11-18",24.661
"2009-11-19",25.1414
"2009-11-20",24.0374
"2009-11-21",24.6843
"2009-11-22",24.8078
"2009-11-23",24.8484
"2009-11-24",24.8074
"2009-11-25",24.5707
"2009-11-26",24.8561
"2009-11-27",25.357
"2009-11-28",25.1281
"2009-11-29",25.7098
"2009-11-30",25.4213
"2009-12-01",25.0757
"2009-12-02",24.8127
"2009-12-03",25.3339
