,"(deg C) Mean Temperature (ERA5) at Kalutara, 2007-01-01 to 2025-12-31"
"2008-12-17",25.5622
"2008-12-18",25.3878
"2008-12-19",25.9692
"2008-12-20",26.4137
"2008-12-21",26.0088
"2008-12-22",25.8695
"2008-12-23",26.2056
"2008-12-24",26.2486
"2008-12-25",26.4752
"2008-12-26",26.5272
"2008-12-27",25.8291
"2008-12-28",25.5195
"2008-12-29",26.0442
"2008-12-30",25.5411
"2008-12-31",25.3254
"2009-01-01",25.5285
"2009-01-02",25.7829
"2009-01-03",25.671
"2009-01-04",26.4715
"2009-01-05",26.7042
"2009-01-06",25.1725
"2009-01-07",26.9405
"2009-01-08",27.0539
"2009-01-09",25.2616
"2009-01-10",25.9746
"2009-01-11",26.3776
"2009-01-12",26.9221
"2009-01-13",26.6876
"2009-01-14",26.1219
"2009-01-15",26.509
"2009-01-16",26.5812
"2009-01-17",26.4105
"2009-01-18",27.2196
"2009-01-19",27.5539
"2009-01-20",27.6493
"2009-01-21",27.1209
"2009-01-22",26.9678
"2009-01-23",26.8881
"2009-01-24",26.33
"2009-01-25",25.9826
"2009-01-26",26.3743
"2009-01-27",26.4455
"2009-01-28",26.3266
"2009-01-29",26.8961
"2009-01-30",25.7296
"2009-01-31",26.0578
"2009-02-01",26.3103
"2009-02-02",26.0817
"2009-02-03",26.2794
"2009-02-04",26.162
"2009-02-05",25.9776
"2009-02-06",26.0977
"2009-02-07",26.4286
"2009-02-08",26.6224
"2009-02-09",26.6577
"2009-02-10",26.5979
"2009-02-11",27.1116
"2009-02-12",26.1551
"2009-02-13",26.1498
"2009-02-14",26.5821
"2009-02-15",26.9782
"2009-02-16",26.9731
"2009-02-17",27.6779
"2009-02-18",27.7087
"2009-02-19",27.3745
"2009-02-20",28.1579
"2009-02-21",27.8411
"2009-02-22",26.8503
"2009-02-23",26.5879
"2009-02-24",26.9516
"2009-02-25",27.6116
"2009-02-26",27.8507
"2009-02-27",27.512
"2009-02-28",27.7084
"2009-03-01",27.7094
"2009-03-02",27.5673
"2009-03-03",27.6722
"2009-03-04",27.3956
"2009-03-05",27.9332
"2009-03-06",27.9591
"2009-03-07",27.8219
"2009-03-08",26.688
"2009-03-09",26.7093
"2009-03-10",26.6612
"2009-03-11",26.6498
"2009-03-12",26.5673
"2009-03-13",26.3366
"2009-03-14",25.9087
"2009-03-15",26.6953
"2009-03-16",26.9581
"2009-03-17",26.5955
"2009-03-18",27.2759
"2009-03-19",27.7851
"2009-03-20",27.0575
"2009-03-21",27.4448
"2009-03-22",28.0795
"2009-03-23",27.6286
"2009-03-24",26.3251
"2009-03-25",27.347
"2009-03-26",27.2993
"2009-03-27",27.1697
"2009-03-28",27.3654
"2009-03-29",26.859
"2009-03-30",26.6023
"2009-03-31",27.6591
"2009-04-01",27.4293
"2009-04-02",26.7987
"2009-04-03",26.8297
"2009-04-04",26.6518
"2009-04-05",26.5062
"2009-04-06",27.2533
"2009-04-07",27.1669
"2009-04-08",26.2259
"2009-04-09",26.0821
"2009-04-10",26.0212
"2009-04-11",26.3287
"2009-04-12",27.6143
"2009-04-13",27.2797
"2009-04-14",28.1195
"2009-04-15",28.5624
"2009-04-16",28.4866
"2009-04-17",28.6963
"2009-04-18",28.6649
"2009-04-19",28.4473
"2009-04-20",28.1924
"2009-04-21",27.9605
"2009-04-22",27.6365
"2009-04-23",28.0668
"2009-04-24",28.3069
"2009-04-25",28.3596
"2009-04-26",27.6491
"2009-04-27",27.602
"2009-04-28",27.7797
"2009-04-29",27.561
"2009-04-30",27.8515
"2009-05-01",28.1526
"2009-05-02",28.4582
"2009-05-03",28.1115
"2009-05-04",27.9941
"2009-05-05",27.664
"2009-05-06",27.7779
"2009-05-07",28.1138
"2009-05-08",27.607
"2009-05-09",27.8127
"2009-05-10",27.9794
"2009-05-11",28.3793
"2009-05-12",27.9347
"2009-05-13",27.5756
"2009-05-14",27.9593
"2009-05-15",27.8915
"2009-05-16",28.0051
"2009-05-17",27.3514
"2009-05-18",26.9423
"2009-05-19",26.9565
"2009-05-20",26.6088
"2009-05-21",26.8358
"2009-05-22",26.8345
"2009-05-23",26.8672
"2009-05-24",26.7852
"2009-05-25",27.8078
"2009-05-26",27.097
"2009-05-27",27.0765
"2009-05-28",27.736
"2009-05-29",27.6503
"2009-05-30",26.8711
"2009-05-31",26.8948
"2009-06-01",27.3457
"2009-06-02",27.5548
"2009-06-03",27.6146
"2009-06-04",27.3393
"2009-06-05",26.6258
"2009-06-06",27.6347
"2009-06-07",27.0282
"2009-06-08",27.1697
"2009-06-09",27.3205
"2009-06-10",26.7912
"2009-06-11",26.369
"2009-06-12",26.2411
"2009-06-13",26.3656
"2009-06-14",27.0405
"2009-06-15",27.3732
"2009-06-16",27.3547
"2009-06-17",26.5397
"2009-06-18",26.0985
"2009-06-19",25.7936
"2009-06-20",26.4175
"2009-06-21",26.9773
"2009-06-22",26.5585
"2009-06-23",27.0124
"2009-06-24",26.4909
"2009-06-25",26.4749
"2009-06-26",26.2389
"2009-06-27",26.3422
"2009-06-28",26.1721
"2009-06-29",25.7885
"2009-06-30",25.5961
"2009-07-01",25.8929
"2009-07-02",26.3837
"2009-07-03",26.9277
"2009-07-04",26.7271
"2009-07-05",26.3643
"2009-07-06",26.1524
"2009-07-07",26.6302
"2009-07-08",26.5177
"2009-07-09",26.5407
"2009-07-10",26.7452
"2009-07-11",26.7877
"2009-07-12",26.9833
"2009-07-13",27.135
"2009-07-14",26.7381
"2009-07-15",26.8198
"2009-07-16",25.8322
"2009-07-17",25.2211
"2009-07-18",27.1119
"2009-07-19",26.7245
"2009-07-20",26.9204
"2009-07-21",27.1287
"2009-07-22",27.0208
"2009-07-23",26.9887
"2009-07-24",27.0951
"2009-07-25",27.0699
"2009-07-26",26.8142
"2009-07-27",26.9569
"2009-07-28",26.4231
"2009-07-29",26.7357
"2009-07-30",26.2359
"2009-07-31",26.6583
"2009-08-01",26.806
"2009-08-02",26.8396
"2009-08-03",27.1612
"2009-08-04",27.2233
"2009-08-05",27.1449
"2009-08-06",26.9036
"2009-08-07",26.4052
"2009-08-08",26.5938
"2009-08-09",26.7807
"2009-08-10",27.0047
"2009-08-11",26.8137
"2009-08-12",26.9856
"2009-08-13",26.9629
"2009-08-14",26.6035
"2009-08-15",26.3752
"2009-08-16",25.784
"2009-08-17",25.0962
"2009-08-18",26.1332
"2009-08-19",26.1366
"2009-08-20",25.7721
"2009-08-21",25.9302
"2009-08-22",26.2938
"2009-08-23",26.3121
"2009-08-24",26.5969
"2009-08-25",26.8586
"2009-08-26",26.3167
"2009-08-27",26.529
"2009-08-28",26.2081
"2009-08-29",26.7161
"2009-08-30",26.5545
"2009-08-31",26.4263
"2009-09-01",26.1829
"2009-09-02",26.0884
"2009-09-03",26.6873
"2009-09-04",26.2863
"2009-09-05",26.6388
"2009-09-06",26.4037
"2009-09-07",26.2318
"2009-09-08",26.6215
"2009-09-09",26.8184
"2009-09-10",26.7001
"2009-09-11",26.9042
"2009-09-12",26.9422
"2009-09-13",27.1436
"2009-09-14",27.0958
"2009-09-15",27.0246
"2009-09-16",27.0475
"2009-09-17",26.7318
"2009-09-18",25.2522
"2009-09-19",26.5961
"2009-09-20",26.7393
"2009-09-21",25.6324
"2009-09-22",25.8054
"2009-09-23",26.3746
"2009-09-24",26.7835
"2009-09-25",26.9212
"2009-09-26",26.9512
"2009-09-27",27.0469
"2009-09-28",26.5979
"2009-09-29",26.5337
"2009-09-30",27.0755
"2009-10-01",26.1036
"2009-10-02",26.0129
"2009-10-03",26.5292
"2009-10-04",26.7486
"2009-10-05",26.8615
"2009-10-06",26.7317
"2009-10-07",26.4164
"2009-10-08",26.6322
"2009-10-09",26.5299
"2009-10-10",26.38
"2009-10-11",26.7673
"2009-10-12",26.5597
"2009-10-13",26.1122
"2009-10-14",26.1435
"2009-10-15",26.1369
"2009-10-16",26.5341
"2009-10-17",26.9723
"2009-10-18",27.021
"2009-10-19",26.4843
"2009-10-20",26.2794
"2009-10-21",26.5617
"2009-10-22",26.6689
"2009-10-23",26.8938
"2009-10-24",26.8547
"2009-10-25",26.9852
"2009-10-26",27.0567
"2009-10-27",26.1949
"2009-10-28",26.4717
"2009-10-29",25.6308
"2009-10-30",26.8129
"2009-10-31",26.1215
"2009-11-01",26.135
"2009-11-02",25.8285
"2009-11-03",25.988
"2009-11-04",25.7175
"2009-11-05",26.0958
"2009-11-06",25.7384
"2009-11-07",25.8769
"2009-11-08",25.4348
"2009-11-09",25.7427
"2009-11-10",25.624
"2009-11-11",26.9829
"2009-11-12",26.8618
"2009-11-13",26.4346
"2009-11-14",25.7182
"2009-11-15",25.3108
"2009-11-16",26.124
"2009-11-17",26.0096
"2009-11-18",25.1332
"2009-11-19",25.9943
"2009-11-20",24.6128
"2009-11-21",25.1908
"2009-11-22",25.4172
"2009-11-23",25.6693
"2009-11-24",25.5915
"2009-11-25",25.7849
"2009-11-26",25.8292
"2009-11-27",26.2548
"2009-11-28",26.5491
"2009-11-29",26.4943
"2009-11-30",26.2189
"2009-12-01",25.7373
"2009-12-02",25.7746
