,"(deg C) Mean Temperature (ERA5) at Ratnapura, 2007-01-01 to 2025-12-31"
"2009-09-22",23.1936
"2009-09-23",23.97
"2009-09-24",24.0124
"2009-09-25",23.8572
"2009-09-26",24.0329
"2009-09-27",24.2334
"2009-09-28",24.1091
"2009-09-29",23.6568
"2009-09-30",24.2377
"2009-10-01",23.4543
"2009-10-02",23.1968
"2009-10-03",23.5115
"2009-10-04",23.777
"2009-10-05",23.9798
"2009-10-06",24.0232
"2009-10-07",23.7229
"2009-10-08",23.8801
"2009-10-09",23.8115
"2009-10-10",23.8483
"2009-10-11",24.3991
"2009-10-12",24.15
"2009-10-13",23.7288
"2009-10-14",23.3765
"2009-10-15",23.9929
"2009-10-16",24.0825
"2009-10-17",24.5663
"2009-10-18",24.5537
"2009-10-19",23.8244
"2009-10-20",23.6449
"2009-10-21",24.016
"2009-10-22",24.1206
"2009-10-23",24.2805
"2009-10-24",24.2976
"2009-10-25",24.5942
"2009-10-26",24.75
"2009-10-27",23.6844
"2009-10-28",23.9989
"2009-10-29",23.3539
"2009-10-30",24.4656
"2009-10-31",24.0053
"2009-11-01",23.8901
"2009-11-02",23.3144
"2009-11-03",23.5472
"2009-11-04",23.3336
"2009-11-05",23.9001
"2009-11-06",23.8441
"2009-11-07",23.7046
"2009-11-08",23.4831
"2009-11-09",23.674
"2009-11-10",23.3175
"2009-11-11",24.4755
"2009-11-12",24.249
"2009-11-13",24.1997
"2009-11-14",23.7124
"2009-11-15",22.9052
"2009-11-16",23.9996
"2009-11-17",23.8141
"2009-11-18",23.0688
"2009-11-19",23.7217
"2009-11-20",22.3935
"2009-11-21",23.1252
"2009-11-22",23.2203
"2009-11-23",23.2033
"2009-11-24",22.9369
"2009-11-25",23.0388
"2009-11-26",23.1758
"2009-11-27",23.4155
"2009-11-28",23.7938
"2009-11-29",24.1489
"2009-11-30",23.9637
"2009-12-01",23.5001
"2009-12-02",23.4818
"2009-12-03",23.8489
