,"(deg C) Mean Temperature (ERA5) at Matara, 2007-01-01 to 2025-12-31"
"2009-05-12",26.8639
"2009-05-13",26.3709
"2009-05-14",26.9559
"2009-05-15",26.8802
"2009-05-16",26.9179
"2009-05-17",26.0801
"2009-05-18",25.834
"2009-05-19",25.6909
"2009-05-20",25.3301
"2009-05-21",25.5984
"2009-05-22",25.6785
"2009-05-23",25.7951
"2009-05-24",25.6291
"2009-05-25",26.6877
"2009-05-26",26.2669
"2009-05-27",26.179
"2009-05-28",26.8353
"2009-05-29",26.6319
"2009-05-30",26.1239
"2009-05-31",25.8264
"2009-06-01",26.3248
"2009-06-02",26.5198
"2009-06-03",26.4874
"2009-06-04",26.2324
"2009-06-05",25.5736
"2009-06-06",26.5365
"2009-06-07",26.1513
"2009-06-08",26.0319
"2009-06-09",26.2198
"2009-06-10",25.6945
"2009-06-11",25.3031
"2009-06-12",25.3752
"2009-06-13",25.5706
"2009-06-14",26.2512
"2009-06-15",26.1868
"2009-06-16",26.2249
"2009-06-17",25.6437
"2009-06-18",25.3129
"2009-06-19",24.9232
"2009-06-20",25.4563
"2009-06-21",25.8986
"2009-06-22",25.5312
"2009-06-23",25.9603
"2009-06-24",25.3728
"2009-06-25",25.4712
"2009-06-26",25.0544
"2009-06-27",25.4216
"2009-06-28",24.9286
"2009-06-29",24.8359
"2009-06-30",24.6183
"2009-07-01",24.7168
"2009-07-02",25.3554
"2009-07-03",25.811
"2009-07-04",25.8455
"2009-07-05",25.4673
"2009-07-06",25.1108
"2009-07-07",25.6512
"2009-07-08",25.5712
"2009-07-09",25.6841
"2009-07-10",25.857
"2009-07-11",25.8798
"2009-07-12",26.2147
"2009-07-13",26.2915
"2009-07-14",25.7646
"2009-07-15",25.8921
"2009-07-16",24.83
"2009-07-17",24.3712
"2009-07-18",26.3155
"2009-07-19",25.7396
"2009-07-20",26.1829
"2009-07-21",26.3075
"2009-07-22",26.1523
"2009-07-23",26.2412
"2009-07-24",26.3091
"2009-07-25",26.2933
"2009-07-26",25.8819
"2009-07-27",25.9722
"2009-07-28",25.3734
"2009-07-29",25.8193
"2009-07-30",25.3296
"2009-07-31",25.8079
"2009-08-01",25.9513
"2009-08-02",26.002
"2009-08-03",26.1419
"2009-08-04",26.2684
"2009-08-05",26.0327
"2009-08-06",25.5264
"2009-08-07",25.1975
"2009-08-08",25.4989
"2009-08-09",25.7571
"2009-08-10",25.93
"2009-08-11",25.6577
"2009-08-12",25.9111
"2009-08-13",26.2089
"2009-08-14",25.7649
"2009-08-15",25.6711
"2009-08-16",24.7206
"2009-08-17",24.0752
"2009-08-18",25.1423
"2009-08-19",25.1188
"2009-08-20",24.6927
"2009-08-21",24.7395
"2009-08-22",25.4062
"2009-08-23",25.2743
"2009-08-24",25.9212
"2009-08-25",25.98
"2009-08-26",25.4123
"2009-08-27",25.5246
"2009-08-28",25.246
"2009-08-29",25.65
"2009-08-30",25.6323
"2009-08-31",25.3172
"2009-09-01",25.1836
"2009-09-02",25.0348
"2009-09-03",25.8744
"2009-09-04",25.4307
"2009-09-05",25.5874
"2009-09-06",25.3957
"2009-09-07",25.1648
"2009-09-08",25.3932
"2009-09-09",25.8414
"2009-09-10",25.6931
"2009-09-11",26.0637
"2009-09-12",26.1111
"2009-09-13",26.324
"2009-09-14",26.0163
"2009-09-15",25.8957
"2009-09-16",26.1226
"2009-09-17",25.9423
"2009-09-18",24.4028
"2009-09-19",25.4306
"2009-09-20",25.706
"2009-09-21",24.7033
"2009-09-22",24.8058
"2009-09-23",25.3031
"2009-09-24",25.7872
"2009-09-25",26.0968
"2009-09-26",26.217
"2009-09-27",26.3296
"2009-09-28",25.7276
"2009-09-29",25.2525
"2009-09-30",26.1016
"2009-10-01",24.9757
"2009-10-02",24.8249
"2009-10-03",25.1953
"2009-10-04",25.6923
"2009-10-05",26.0012
"2009-10-06",25.9886
"2009-10-07",25.5773
"2009-10-08",25.6594
"2009-10-09",25.5753
"2009-10-10",25.616
"2009-10-11",25.8407
"2009-10-12",25.8303
"2009-10-13",25.2399
"2009-10-14",25.1107
"2009-10-15",25.5227
"2009-10-16",25.5399
"2009-10-17",26.0383
"2009-10-18",25.9005
"2009-10-19",25.5897
"2009-10-20",25.0814
"2009-10-21",25.355
"2009-10-22",25.3894
"2009-10-23",25.6448
"2009-10-24",25.633
"2009-10-25",25.8719
"2009-10-26",25.9069
"2009-10-27",25.1866
"2009-10-28",25.4318
"2009-10-29",24.8961
"2009-10-30",26.0129
"2009-10-31",25.3663
"2009-11-01",25.2586
"2009-11-02",24.6404
"2009-11-03",24.4676
"2009-11-04",24.326
"2009-11-05",24.8288
"2009-11-06",24.6878
"2009-11-07",25.067
"2009-11-08",24.6194
"2009-11-09",24.8857
"2009-11-10",24.6339
"2009-11-11",26.0212
"2009-11-12",25.6751
"2009-11-13",25.3771
"2009-11-14",24.7552
"2009-11-15",24.2278
"2009-11-16",25.3878
"2009-11-17",24.8866
"2009-11-18",24.2743
"2009-11-19",24.9351
"2009-11-20",23.7252
"2009-11-21",24.3443
"2009-11-22",24.4999
"2009-11-23",24.8363
"2009-11-24",24.6798
"2009-11-25",24.3191
"2009-11-26",24.6136
"2009-11-27",25.213
