,"(deg C) Mean Temperature (ERA5) at Kandy, 2007-01-01 to 2025-12-31"
"2009-05-26",24.9803
"2009-05-27",25.473
"2009-05-28",25.8731
"2009-05-29",25.9349
"2009-05-30",25.4551
"2009-05-31",25.3173
"2009-06-01",25.5218
"2009-06-02",25.7279
"2009-06-03",25.7134
"2009-06-04",25.2883
"2009-06-05",24.6216
"2009-06-06",25.3801
"2009-06-07",24.5466
"2009-06-08",24.774
"2009-06-09",25.0827
"2009-06-10",25.346
"2009-06-11",24.9916
"2009-06-12",24.3344
"2009-06-13",24.4049
"2009-06-14",25.4947
"2009-06-15",25.4478
"2009-06-16",25.5365
"2009-06-17",24.8415
"2009-06-18",24.6705
"2009-06-19",24.3191
"2009-06-20",24.7676
"2009-06-21",25.3893
"2009-06-22",24.9416
"2009-06-23",25.3486
"2009-06-24",25.0135
"2009-06-25",24.6812
"2009-06-26",23.9956
"2009-06-27",24.3698
"2009-06-28",24.6783
"2009-06-29",24.2161
"2009-06-30",23.7248
"2009-07-01",23.8136
"2009-07-02",23.6905
"2009-07-03",24.124
"2009-07-04",24.2715
"2009-07-05",24.5659
"2009-07-06",24.2831
"2009-07-07",24.776
"2009-07-08",24.8943
"2009-07-09",24.6996
"2009-07-10",24.9023
"2009-07-11",25.071
"2009-07-12",24.9703
"2009-07-13",24.7084
"2009-07-14",24.6919
"2009-07-15",25.3395
"2009-07-16",24.5115
"2009-07-17",23.2765
"2009-07-18",24.9648
"2009-07-19",24.6745
"2009-07-20",24.9395
"2009-07-21",24.8763
"2009-07-22",24.8718
"2009-07-23",25.0549
"2009-07-24",25.5063
"2009-07-25",25.4184
"2009-07-26",24.8883
"2009-07-27",24.8578
"2009-07-28",24.7958
"2009-07-29",25.2294
"2009-07-30",25.1016
"2009-07-31",24.8625
"2009-08-01",24.31
"2009-08-02",24.2993
"2009-08-03",24.9702
"2009-08-04",24.7
"2009-08-05",24.8433
"2009-08-06",24.8032
"2009-08-07",24.297
"2009-08-08",25.0438
"2009-08-09",25.059
"2009-08-10",25.1943
"2009-08-11",24.971
"2009-08-12",25.2537
"2009-08-13",25.1783
"2009-08-14",25.3172
"2009-08-15",24.8483
"2009-08-16",23.8946
"2009-08-17",22.7784
"2009-08-18",24.1247
"2009-08-19",23.9599
"2009-08-20",23.9783
"2009-08-21",24.3844
"2009-08-22",24.4774
"2009-08-23",24.1294
"2009-08-24",24.3865
"2009-08-25",24.7274
"2009-08-26",24.3303
"2009-08-27",24.8077
"2009-08-28",24.0532
"2009-08-29",24.619
"2009-08-30",24.3273
"2009-08-31",24.1128
"2009-09-01",24.2901
"2009-09-02",23.8249
"2009-09-03",24.267
"2009-09-04",23.6845
"2009-09-05",23.9622
"2009-09-06",23.7816
"2009-09-07",23.9741
"2009-09-08",24.3878
"2009-09-09",24.4383
"2009-09-10",24.5583
"2009-09-11",24.8606
"2009-09-12",25.1687
"2009-09-13",25.3797
"2009-09-14",24.8207
"2009-09-15",24.6518
"2009-09-16",24.9495
"2009-09-17",24.7099
"2009-09-18",23.5171
"2009-09-19",24.3765
"2009-09-20",25.0729
"2009-09-21",24.1267
