,"(mm) Precipitation (CHIRPS) at Matara, 2007-01-01 to 2025-12-31"
"2009-03-29",30.6325
"2009-03-30",36.6811
"2009-03-31",18.3405
"2009-04-01",14.168
"2009-04-02",13.8137
"2009-04-03",9.3247
"2009-04-04",10.5702
"2009-04-05",21.4616
"2009-04-06",5.3843
"2009-04-07",4.848
"2009-04-08",12.2628
"2009-04-09",24.1276
"2009-04-10",24.0742
"2009-04-11",15.7997
"2009-04-12",0.0505
"2009-04-13",1.5613
"2009-04-14",0
"2009-04-15",2.2255
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0
"2009-04-19",2.0281
"2009-04-20",1.9069
"2009-04-21",0
"2009-04-22",0.0715
"2009-04-23",0.0801
"2009-04-24",0
"2009-04-25",0
"2009-04-26",2.6716
"2009-04-27",2.3346
"2009-04-28",0
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",3.1129
"2009-05-06",5.0214
"2009-05-07",23.5254
"2009-05-08",26.0389
"2009-05-09",13.5663
"2009-05-10",3.7905
"2009-05-11",0
"2009-05-12",43.5237
"2009-05-13",11.1555
"2009-05-14",2.4862
"2009-05-15",1.9705
"2009-05-16",0.5916
"2009-05-17",57.9414
"2009-05-18",18.8113
"2009-05-19",64.5456
"2009-05-20",13.8714
"2009-05-21",39.5619
"2009-05-22",19.911
"2009-05-23",4.8085
"2009-05-24",9.5397
"2009-05-25",0
"2009-05-26",32.7216
"2009-05-27",22.2917
"2009-05-28",0
"2009-05-29",0
"2009-05-30",44.5392
"2009-05-31",10.7789
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0.0113
"2009-06-04",2.2454
"2009-06-05",25.2916
"2009-06-06",0
"2009-06-07",0
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",44.1211
"2009-06-12",1.6291
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",27.9729
"2009-06-19",26.9124
"2009-06-20",0.4809
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",26.547
"2009-06-25",36.3797
"2009-06-26",30.5055
"2009-06-27",62.9041
"2009-06-28",4.9273
"2009-06-29",3.3835
"2009-06-30",11.4767
"2009-07-01",31.8516
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0.7536
"2009-07-05",7.746
"2009-07-06",7.5151
"2009-07-07",0.0128
"2009-07-08",0
"2009-07-09",0
"2009-07-10",0
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",0.2149
"2009-07-15",0.6898
"2009-07-16",14.4949
"2009-07-17",26.0536
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",7.0894
"2009-07-25",0
"2009-07-26",0
"2009-07-27",0.926
"2009-07-28",0.8921
"2009-07-29",0
"2009-07-30",13.2021
"2009-07-31",0
"2009-08-01",0
"2009-08-02",0
"2009-08-03",1.8328
"2009-08-04",0.17
"2009-08-05",0
"2009-08-06",0
"2009-08-07",9.1105
"2009-08-08",10.3683
"2009-08-09",1.8323
