,"(mm) Precipitation (CHIRPS) at Puttalam, 2007-01-01 to 2025-12-31"
"2009-04-12",1.0276
"2009-04-13",16.1715
"2009-04-14",2.9971
"2009-04-15",0.0502
"2009-04-16",0.3337
"2009-04-17",0
"2009-04-18",1.1842
"2009-04-19",0.1786
"2009-04-20",0.0097
"2009-04-21",0.0027
"2009-04-22",0.009
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",0.0019
"2009-04-27",3.9469
"2009-04-28",0.3068
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0.0009
"2009-05-03",0
"2009-05-04",0.1044
"2009-05-05",0
"2009-05-06",0.0006
"2009-05-07",0.1218
"2009-05-08",0.4001
"2009-05-09",0
"2009-05-10",0
"2009-05-11",0.0285
"2009-05-12",0.3132
"2009-05-13",0.5012
"2009-05-14",0.2011
"2009-05-15",0
"2009-05-16",4.0545
"2009-05-17",5.8387
"2009-05-18",1.6077
"2009-05-19",14.6386
"2009-05-20",2.6837
"2009-05-21",2.988
"2009-05-22",3.1253
"2009-05-23",1.5778
"2009-05-24",1.6085
"2009-05-25",7.7959
"2009-05-26",13.4341
"2009-05-27",0
"2009-05-28",0.0223
"2009-05-29",0
"2009-05-30",0.075
"2009-05-31",0.7949
"2009-06-01",0.0001
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",2.6013
"2009-06-06",6.8666
"2009-06-07",4.6112
"2009-06-08",0.2971
"2009-06-09",0
"2009-06-10",0
"2009-06-11",2.8662
"2009-06-12",0
"2009-06-13",0
"2009-06-14",0.0014
"2009-06-15",0
"2009-06-16",0
"2009-06-17",2.8686
"2009-06-18",0.8148
"2009-06-19",8.9357
"2009-06-20",2.4686
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",2.4301
"2009-06-25",0.3855
"2009-06-26",0.3017
"2009-06-27",0
"2009-06-28",0
"2009-06-29",3.729
"2009-06-30",3.9564
"2009-07-01",0.0376
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",4.4428
"2009-07-06",3.2542
"2009-07-07",0
"2009-07-08",0.0554
"2009-07-09",1.7442
"2009-07-10",0.7025
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",4.2933
"2009-07-15",0.509
"2009-07-16",1.6692
"2009-07-17",2.753
"2009-07-18",0.1922
"2009-07-19",0.4394
"2009-07-20",0
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0.8175
"2009-07-25",0.7021
"2009-07-26",0
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0
"2009-07-30",0.0076
"2009-07-31",0.2559
"2009-08-01",0
"2009-08-02",0
"2009-08-03",0.0112
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",2.9019
"2009-08-12",1.9422
"2009-08-13",4.6826
"2009-08-14",5.2777
"2009-08-15",12.8639
"2009-08-16",14.244
"2009-08-17",12.2675
"2009-08-18",0.741
"2009-08-19",10.2478
"2009-08-20",8.0583
"2009-08-21",0.2793
"2009-08-22",0.9044
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0.0374
"2009-08-26",0
