,"(mm) Precipitation (CHIRPS) at Ratnapura, 2007-01-01 to 2025-12-31"
"2009-01-29",0.6258
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0.1751
"2009-02-11",0.0045
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0.0242
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",0
"2009-02-21",4.8241
"2009-02-22",1.471
"2009-02-23",30.1483
"2009-02-24",0.1675
"2009-02-25",7.3765
"2009-02-26",1.3628
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",6.7699
"2009-03-06",3.7712
"2009-03-07",8.0341
"2009-03-08",29.7369
"2009-03-09",19.7046
"2009-03-10",6.8732
"2009-03-11",12.31
"2009-03-12",31.9096
"2009-03-13",33.2061
"2009-03-14",40.223
"2009-03-15",10.4585
"2009-03-16",11.1018
"2009-03-17",18.1114
"2009-03-18",7.1779
"2009-03-19",14.5741
"2009-03-20",19.1791
"2009-03-21",8.7153
"2009-03-22",3.2123
"2009-03-23",18.5443
"2009-03-24",15.5141
"2009-03-25",14.11
"2009-03-26",28.9512
"2009-03-27",25.5007
"2009-03-28",18.9054
"2009-03-29",25.0646
"2009-03-30",32.3283
"2009-03-31",15.1408
"2009-04-01",13.2932
"2009-04-02",10.2477
"2009-04-03",8.0935
"2009-04-04",10.6461
"2009-04-05",17.3131
"2009-04-06",10.4146
"2009-04-07",10.0523
"2009-04-08",7.6315
"2009-04-09",19.7497
"2009-04-10",24.7238
"2009-04-11",23.1368
"2009-04-12",3.4282
"2009-04-13",10.0092
"2009-04-14",1.2406
"2009-04-15",3.0282
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0
"2009-04-19",0.7928
"2009-04-20",1.8728
"2009-04-21",0
"2009-04-22",0.732
"2009-04-23",2.6706
"2009-04-24",0.7267
"2009-04-25",0
"2009-04-26",9.7253
"2009-04-27",4.9919
"2009-04-28",0.5161
"2009-04-29",0.1768
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",6.2481
"2009-05-06",12.0083
"2009-05-07",18.9414
"2009-05-08",3.473
"2009-05-09",1.0825
"2009-05-10",3.8012
"2009-05-11",0.0487
"2009-05-12",34.4079
"2009-05-13",1.3836
"2009-05-14",0.0019
"2009-05-15",0.1173
"2009-05-16",8.9895
"2009-05-17",26.2217
"2009-05-18",4.2858
