,"(mm) Precipitation (CHIRPS) at Kegalle, 2007-01-01 to 2025-12-31"
"2009-12-16",3.062
"2009-12-17",3.9718
"2009-12-18",10.3127
"2009-12-19",7.4874
"2009-12-20",0
"2009-12-21",6.6275
"2009-12-22",0.9892
"2009-12-23",0
"2009-12-24",10.3274
"2009-12-25",7.916
"2009-12-26",2.1856
"2009-12-27",9.501
"2009-12-28",3.8411
"2009-12-29",6.4033
"2009-12-30",1.0718
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.8879
"2010-01-03",9.3506
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",15.2172
"2010-01-09",17.0435
"2010-01-10",0
"2010-01-11",3.6503
"2010-01-12",20.6628
"2010-01-13",10.0116
"2010-01-14",6.7819
"2010-01-15",0
"2010-01-16",9.0826
"2010-01-17",4.1402
"2010-01-18",1.2916
"2010-01-19",3.7856
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",7.1001
"2010-01-28",0.4389
"2010-01-29",0
"2010-01-30",0
"2010-01-31",15.0421
"2010-02-01",23.6646
"2010-02-02",0.0738
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0.4006
"2010-02-09",0
"2010-02-10",4.9029
"2010-02-11",10.7376
"2010-02-12",3.3768
"2010-02-13",3.4014
"2010-02-14",0
"2010-02-15",0
"2010-02-16",3.0158
"2010-02-17",13.8962
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",2.062
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
