,"(mm) Precipitation (CHIRPS) at Kurunegala, 2007-01-01 to 2025-12-31"
"2008-06-30",0
"2008-07-01",1.5244
"2008-07-02",0
"2008-07-03",0.7352
"2008-07-04",6.2921
"2008-07-05",0.0085
"2008-07-06",0.1189
"2008-07-07",0.8556
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0
"2008-07-12",5.5759
"2008-07-13",0.5607
"2008-07-14",5.311
"2008-07-15",15.075
"2008-07-16",0
"2008-07-17",0
"2008-07-18",15.2517
"2008-07-19",0.7775
"2008-07-20",5.1924
"2008-07-21",6.7349
"2008-07-22",14.3508
"2008-07-23",2.4381
"2008-07-24",0
"2008-07-25",0.2842
"2008-07-26",8.1112
"2008-07-27",2.0769
"2008-07-28",12.8848
"2008-07-29",0.0035
"2008-07-30",0
"2008-07-31",0
"2008-08-01",1.4342
"2008-08-02",2.1741
"2008-08-03",0.5101
"2008-08-04",0.3262
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0.1756
"2008-08-08",1.6158
"2008-08-09",1.6808
"2008-08-10",0.3721
"2008-08-11",0.0055
"2008-08-12",0.9077
"2008-08-13",0.0228
"2008-08-14",0.1236
"2008-08-15",1.11
"2008-08-16",0.5717
"2008-08-17",2.0169
"2008-08-18",1.0615
"2008-08-19",1.4186
"2008-08-20",1.6735
"2008-08-21",1.376
"2008-08-22",0.0354
"2008-08-23",0.4317
"2008-08-24",4.4776
"2008-08-25",9.4284
"2008-08-26",10.9408
"2008-08-27",11.737
"2008-08-28",7.2661
"2008-08-29",7.6076
"2008-08-30",6.5306
"2008-08-31",11.2265
"2008-09-01",0
"2008-09-02",0.3522
"2008-09-03",2.1662
"2008-09-04",3.3463
"2008-09-05",1.4216
"2008-09-06",5.7469
"2008-09-07",7.9646
"2008-09-08",0.5158
"2008-09-09",0
"2008-09-10",0.0063
"2008-09-11",0.1222
"2008-09-12",0.7003
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0.0478
"2008-09-20",0
"2008-09-21",0.0116
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0.2576
