,"(mm) Precipitation (CHIRPS) at Kalutara, 2007-01-01 to 2025-12-31"
"2008-09-01",2.8168
"2008-09-02",0
"2008-09-03",20.6446
"2008-09-04",11.8512
"2008-09-05",40.0138
"2008-09-06",15.8274
"2008-09-07",30.9902
"2008-09-08",8.6187
"2008-09-09",0
"2008-09-10",0
"2008-09-11",15.3396
"2008-09-12",0.0449
"2008-09-13",0
"2008-09-14",0
"2008-09-15",1.891
"2008-09-16",0
"2008-09-17",0
"2008-09-18",2.7951
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",8.516
"2008-09-26",17.4333
"2008-09-27",1.1565
"2008-09-28",4.4388
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",1.6634
"2008-10-04",11.7346
"2008-10-05",16.675
"2008-10-06",11.0377
"2008-10-07",9.9902
"2008-10-08",14.1529
"2008-10-09",7.0237
"2008-10-10",17.4755
"2008-10-11",20.9257
"2008-10-12",28.3307
"2008-10-13",16.4802
"2008-10-14",11.2672
"2008-10-15",15.79
"2008-10-16",31.3169
"2008-10-17",26.9595
"2008-10-18",22.8787
"2008-10-19",53.9031
"2008-10-20",20.9894
"2008-10-21",31.5837
"2008-10-22",17.6617
"2008-10-23",2.4077
"2008-10-24",5.8538
"2008-10-25",49.2173
"2008-10-26",7.1432
"2008-10-27",2.2812
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",5.465
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0.5646
"2008-11-08",14.7104
"2008-11-09",10.9835
"2008-11-10",23.2505
"2008-11-11",14.9219
"2008-11-12",8.5789
"2008-11-13",7.3763
"2008-11-14",2.9115
"2008-11-15",0
"2008-11-16",0
"2008-11-17",8.7973
"2008-11-18",11.5758
"2008-11-19",8.7913
"2008-11-20",19.4925
"2008-11-21",22.9816
"2008-11-22",12.5586
"2008-11-23",24.3307
"2008-11-24",28.7249
"2008-11-25",5.1201
"2008-11-26",2.7405
"2008-11-27",0.013
"2008-11-28",15.8291
"2008-11-29",15.9223
"2008-11-30",3.5702
"2008-12-01",18.5095
"2008-12-02",1.824
"2008-12-03",0
"2008-12-04",0
"2008-12-05",12.5741
"2008-12-06",11.4026
"2008-12-07",7.4161
"2008-12-08",26.5188
"2008-12-09",0.0702
"2008-12-10",4.4523
"2008-12-11",17.9886
"2008-12-12",0
"2008-12-13",0
"2008-12-14",9.4736
"2008-12-15",13.0985
"2008-12-16",16.2707
"2008-12-17",11.2487
"2008-12-18",5.3632
"2008-12-19",6.6527
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",3.701
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",6.6017
"2009-01-07",1.4782
"2009-01-08",3.8555
"2009-01-09",13.7463
"2009-01-10",4.9133
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0.6661
"2009-01-21",0.4336
"2009-01-22",0
"2009-01-23",0
"2009-01-24",0
"2009-01-25",8.6232
"2009-01-26",0
"2009-01-27",16.7268
"2009-01-28",11.153
"2009-01-29",5.5399
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",0
"2009-02-21",2.1914
"2009-02-22",6.3868
"2009-02-23",29.4429
"2009-02-24",5.0835
"2009-02-25",9.8187
"2009-02-26",0.1887
"2009-02-27",4.4108
"2009-02-28",0
"2009-03-01",7.0175
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",5.1677
"2009-03-06",0
"2009-03-07",9.0106
"2009-03-08",22.9202
"2009-03-09",19.7804
"2009-03-10",8.6492
"2009-03-11",10.4762
"2009-03-12",21.1474
"2009-03-13",23.1237
"2009-03-14",34.8089
"2009-03-15",0
"2009-03-16",0.2214
"2009-03-17",8.8313
