,"(mm) Precipitation (CHIRPS) at Matale, 2007-01-01 to 2025-12-31"
"2008-08-10",0.4757
"2008-08-11",1.634
"2008-08-12",0.0357
"2008-08-13",0.114
"2008-08-14",1.7983
"2008-08-15",1.6973
"2008-08-16",1.3886
"2008-08-17",3.1301
"2008-08-18",0.9648
"2008-08-19",2.9724
"2008-08-20",1.5324
"2008-08-21",2.188
"2008-08-22",0.1496
"2008-08-23",0.0963
"2008-08-24",8.1742
"2008-08-25",7.5135
"2008-08-26",13.1985
"2008-08-27",10.3228
"2008-08-28",8.5871
"2008-08-29",10.3267
"2008-08-30",5.2628
"2008-08-31",17.6323
"2008-09-01",0
"2008-09-02",1.9608
"2008-09-03",0.7833
"2008-09-04",7.725
"2008-09-05",0.4907
"2008-09-06",6.7532
"2008-09-07",11.3512
"2008-09-08",0.5026
"2008-09-09",0
"2008-09-10",0.1396
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0.4198
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0
"2008-09-26",0.1317
"2008-09-27",4.274
"2008-09-28",6.2029
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",1.6534
"2008-10-03",2.2279
"2008-10-04",10.4632
"2008-10-05",11.2793
"2008-10-06",3.8879
"2008-10-07",9.997
"2008-10-08",0.2292
"2008-10-09",0.2736
"2008-10-10",0.0123
"2008-10-11",19.2561
"2008-10-12",21.8621
"2008-10-13",12.808
"2008-10-14",6.0517
"2008-10-15",10.1074
"2008-10-16",9.6499
"2008-10-17",10.2941
"2008-10-18",9.4978
"2008-10-19",14.9379
"2008-10-20",14.6337
"2008-10-21",24.0555
"2008-10-22",0
"2008-10-23",0
"2008-10-24",2.7767
"2008-10-25",3.3182
"2008-10-26",0.6379
"2008-10-27",0
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0.0884
"2008-11-08",0.5617
"2008-11-09",2.5733
"2008-11-10",21.1871
"2008-11-11",13.1819
"2008-11-12",10.597
"2008-11-13",9.6518
"2008-11-14",1.7824
"2008-11-15",4.4842
"2008-11-16",0.3226
"2008-11-17",0
"2008-11-18",0
"2008-11-19",2.4389
"2008-11-20",16.4009
"2008-11-21",13.731
"2008-11-22",24.7777
"2008-11-23",46.0752
"2008-11-24",25.6894
"2008-11-25",13.9695
"2008-11-26",0.501
"2008-11-27",0
"2008-11-28",20.8831
"2008-11-29",10.7064
"2008-11-30",1.1889
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",3.9632
"2008-12-06",51.0875
